"Part no","Invoice qty"
"15938","1"
"3162020","1"
"20260","3"
"9430109","1"
"2820124","1"
"942548","5"
"20297","1"
"20404","3"
"20412","1"
"20462","1"
"35498","10"
"40262","2"
"40496","4"
"46003","20"
"46013","4"
"46075","5"
"46110","1"
"64511","1"
"70264","3"
"3162001","4"
"3734531","1"
"3838530","1"
"3917535","2"
"5000025","8"
"5010016","1"
"400000","10"
"400001","10"
"400002","3"
"942546","4"
"817409","1"
"430402","7"
"42541","20"
"42441","2"
"843015","2"
"70266","15"
"70297","3"
"70298","1"
"80278","20"
"80605","10"
"80609","1"
"80658","3"
"80659","2"
"80675","2"
"80683","4"
"80702","2"
"80712","2"
"80713","2"
"80776","3"
"80832","1"
"80842","1"
"81002","1"
"1144580","4"
"1300041","1"
"1630008","1"
"1630014","1"
"1630050","3"
"1745000","8"
"2483875","6"
"2488601","1"
"3160001","2"
"3160006","1"
"952548","2"
"3734089","1"
"70264","1"
"70273","5"
"2488601","2"
"3160001","6"
"3160006","1"
"3162001","6"
"3162014","3"
"3737437","1"
"5671518","1"
"5385433","1"
"5380431","1"
"3916789","1"
"80776","3"
"80833","2"
"80834","1"
"80842","2"
"81040","2"
"1147494","2"
"80638","10"
"80675","4"
"80694","1"
"80710","3"
"80712","1"
"3735587","1"
"817516","1"
"70274","2"
"80259","48"
"80605","10"
"80609","2"
"2480003","1"
"81063","1"
"40281","1"
"1536200","2"
"20462","3"
"30262","10"
"81052","1"
"10415","1"
"80837","1"
"3327302","8"
"35265","1"
"817603","1"
"15802","1"
"3162014","-1"
"30499","2"
"35498","10"
"40496","4"
"46003","10"
"46013","25"
"46112","5"
"50498","1"
"70266","15"
"70268","1"
"70273","5"
"70274","10"
"70460","1"
"75498","2"
"80259","24"
"80278","10"
"80840","1"
"80323","1"
"80604","1"
"80605","15"
"80609","1"
"80629","2"
"80885","1"
"81045","1"
"81120","1"
"1147494","3"
"1300055","1"
"1630050","2"
"1745000","20"
"2480003","6"
"2483875","2"
"2488600","1"
"3160001","6"
"3160009","1"
"80638","3"
"80659","2"
"80668","1"
"80681","1"
"80683","3"
"10231","3"
"20260","8"
"80706","3"
"80710","3"
"80712","3"
"3162014","1"
"3913180","2"
"3917438","1"
"3918014","1"
"3918794","1"
"5000025","5"
"400000","10"
"400008","2"
"42443","2"
"42541","3"
"42583","1"
"43041","6"
"325108","6"
"430402","15"
"943040","1"
"943041","2"
"2220125","2"
"80713","4"
"80775","2"
"80776","2"
"80832","2"
"80833","12"
"3916789","1"
"80713","1"
"80706","-1"
"80690","-1"
"80683","-1"
"80776","-1"
"80793","-1"
"80680","-1"
"81040","-1"
"3916789","-1"
"3917992","1"
"3738611","1"
"817312","1"
"942448","1"
"70499","1"
"80833","6"
"81040","2"
"81045","2"
"81063","1"
"81120","2"
"1050180","2"
"1144580","2"
"1175778","3"
"1300041","4"
"1630050","3"
"2260020","6"
"3160001","6"
"3733163","2"
"17116","1"
"42443","5"
"42543","1"
"942553","1"
"9430109","5"
"817497","1"
"20404","2"
"22164","1"
"1170100","1"
"30228","2"
"30262","5"
"30499","2"
"45052","1"
"46075","7"
"50498","1"
"70239","3"
"70265","1"
"70274","5"
"70297","2"
"70298","1"
"70460","2"
"70469","1"
"80212","2"
"3162014","2"
"3162001","6"
"3734529","2"
"3737637","3"
"3737834","3"
"80250","4"
"80259","36"
"80323","1"
"80604","3"
"80605","5"
"80638","5"
"80643","1"
"80658","5"
"80659","3"
"80675","4"
"80680","1"
"80681","3"
"80776","2"
"3737919","2"
"3917535","2"
"3918014","2"
"5008555","1"
"5671519","2"
"5671521","1"
"400000","10"
"400001","10"
"400002","4"
"400004","1"
"400003","4"
"20297","2"
"80832","2"
"70266","10"
"70298","2"
"70360","1"
"3737637","1"
"3910002","1"
"3913180","1"
"400000","8"
"400001","8"
"400003","3"
"81063","1"
"1175778","1"
"1530010","2"
"1630050","2"
"3160001","2"
"3162020","1"
"3733162","1"
"400009","2"
"10230","2"
"80688","2"
"80690","4"
"80702","2"
"3734529","1"
"80706","-1"
"80675","1"
"80683","1"
"80690","2"
"7250501-7","-2"
"10280","-4"
"5380402","-4"
"20248","-2"
"20413","-1"
"30280","-3"
"30498","-1"
"50239","-1"
"5384084","1"
"80278","10"
"80604","2"
"80605","10"
"80629","5"
"80668","2"
"80680","2"
"80694","2"
"80706","5"
"80735","2"
"80775","5"
"80776","4"
"70270","-1"
"81111","-1"
"3910002","-1"
"3916848","-2"
"1630051","-2"
"3916030","-2"
"5030030","-1"
"80831","1"
"80833","3"
"80834","2"
"5380403","-1"
"20230","-2"
"80842","7"
"80885","2"
"1147494","2"
"1170100","1"
"1530010","1"
"1630014","4"
"1745000","5"
"3160006","1"
"3162001","4"
"3162006","1"
"3320001","1"
"3327302","15"
"3734529","2"
"3738616","2"
"20462","3"
"35498","20"
"42443","4"
"942548","4"
"942546","6"
"3910201","1"
"3913180","1"
"5000025","12"
"5008555","1"
"5380036","4"
"400001","8"
"400002","5"
"10231","2"
"46003","10"
"46075","5"
"46076","1"
"50262","2"
"50281","1"
"70244","2"
"70264","3"
"70268","3"
"70274","5"
"70419","1"
"70497","1"
"80250","4"
"80259","48"
"8250500","2"
"80713","3"
"80717","1"
"20228","1"
"20462","2"
"30262","2"
"70460","4"
"70465","4"
"70469","2"
"80604","2"
"5000025","3"
"5000029","1"
"5010016","5"
"5671510","3"
"400000","10"
"400002","6"
"400004","2"
"400007","3"
"843015","2"
"80605","8"
"80659","4"
"80681","3"
"20404","-1"
"17367","1"
"400001","-1"
"50231","2"
"817248","-1"
"5386900","1"
"8214400","2"
"80690","2"
"80776","2"
"80776","2"
"3838500","2"
"1630008","1"
"3162009","1"
"3327302","2"
"3733163","4"
"3915033","1"
"5008555","1"
"5671510","3"
"17462","1"
"80885","-1"
"815936","1"
"20248","1"
"3733157","1"
"5671516","1"
"400002","6"
"400003","4"
"Y300400","1"
"70360","1"
"5671516","1"
"400000","14"
"400001","12"
"400002","6"
"400003","4"
"400004","1"
"400009","3"
"3162009","1"
"3915035","1"
"1950225","1"
"1630003","-1"
"1745000","-1"
"3160001","10"
"3162006","1"
"3320001","1"
"3733163","2"
"3734529","2"
"3737437","2"
"3737637","3"
"3738616","1"
"3915065","1"
"3916848","1"
"3917308","2"
"3917438","2"
"3917535","2"
"5000025","15"
"10230","1"
"20260","6"
"20297","2"
"20400","2"
"46013","10"
"46076","4"
"50262","1"
"50498","1"
"70244","3"
"70264","4"
"70266","20"
"70268","2"
"70273","6"
"5000029","1"
"70360","2"
"70460","3"
"80250","4"
"80259","48"
"80278","25"
"80605","50"
"80675","4"
"80680","4"
"80683","8"
"80688","2"
"80702","3"
"80706","7"
"1630003","3"
"70497","3"
"80629","10"
"80842","8"
"30262","10"
"80831","2"
"42443","2"
"70274","5"
"80713","6"
"80831","1"
"80842","2"
"80885","2"
"81020","1"
"81040","3"
"81063","2"
"1300041","4"
"1630002","2"
"1630003","1"
"1630103","2"
"3160001","3"
"3162006","2"
"3327302","5"
"3733162","2"
"80775","20"
"80776","10"
"80793","1"
"80832","3"
"80833","10"
"80834","3"
"80840","1"
"1175778","3"
"3733163","1"
"3838530","1"
"3917308","5"
"3917960","1"
"5384106","1"
"5671510","2"
"20462","2"
"30228","1"
"35498","20"
"15430","2"
"42541","8"
"2488601","2"
"3737437","1"
"80883","1"
"1530020","2"
"1531000","1"
"1630002","1"
"1630050","6"
"1745000","25"
"2260020","4"
"2483875","3"
"2488601","2"
"42543","8"
"1300041","7"
"843016","2"
"942548","6"
"943041","1"
"943043","2"
"2230130","2"
"2260020","2"
"5671519","1"
"400000","10"
"400001","10"
"400002","2"
"400004","2"
"843016","4"
"942442","1"
"943041","1"
"7250501-7","2"
"9430109","7"
"2480003","6"
"10230","1"
"30262","8"
"40497","1"
"46003","20"
"50281","2"
"64511","2"
"70239","2"
"70266","4"
"70465","4"
"70497","1"
"80212","1"
"80259","24"
"80323","3"
"80609","3"
"80629","4"
"80638","8"
"80712","2"
"80775","8"
"80675","4"
"80706","3"
"80775","5"
"80832","1"
"81002","2"
"81060","1"
"1530010","2"
"80659","1"
"1631402","1"
"Y214300","1"
"70502","1"
